ci,na,co,lo,la,z
Jeypore,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,18.85805511,82.5708313,India Standard Time
Jilin,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,43.84999847,126.5666656,China Standard Time
Jinan,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,36.65000153,116.9666672,China Standard Time
Joao Pessoa,"(GMT-03:00) Georgetown, South America Eastern Time",Brazil,-7.13166666,-34.85388947,SA Eastern Standard Time
Johannesburg,"(GMT+02:00) Harare, Pretoria",South Africa,-26.25,28,South Africa Standard Time
Juba,(GMT+03:00) Nairobi,Sudan,4.864999771,31.60000038,E. Africa Standard Time
Jujuy,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-24.1977787,-65.30083466,SA Eastern Standard Time
Kabardinka,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,44.65000153,37.95000076,Russian Standard Time
Kabul,(GMT+04:30) Kabul,Afghanistan,34.51666641,69.18333435,Afghanistan Standard Time
Kagoshima,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,31.56666756,130.5500031,Tokyo Standard Time
Kaikoura,"(GMT+12:00) Auckland, Wellington",New Zealand,-42.40222168,173.6805573,New Zealand Standard Time
Kaliningrad,(GMT+03:00) Kaliningrad,Russia,54.70000076,20.5,Kaliningrad Standard Time
Kalmar,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,56.66666794,16.36666679,W. Europe Standard Time
Kalutara,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,6.589444637,79.98083496,India Standard Time
"Kamloops, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,50.67666626,-120.3388901,Pacific Standard Time
Kampala,(GMT+03:00) Nairobi,Uganda,0.316666663,32.58333206,E. Africa Standard Time
Kandahar,(GMT+04:30) Kabul,Afghanistan,31.61083412,65.70027924,Afghanistan Standard Time
Kandy,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,7.284444332,80.63749695,India Standard Time
Kanpur,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,26.45000076,80.31666565,India Standard Time
"Kansas City, MO",(GMT-06:00) Central Time (US & Canada),United States,39.09972382,-94.58333588,Central Standard Time
Kanyakumari,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,8.084166527,77.54194641,India Standard Time
Karachi,(GMT+05:00) Pakistan,Pakistan,24.86666679,67.05000305,Pakistan Standard Time
Karlovy Vary,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Czech Republic,50.23222351,12.87138844,Central Europe Standard Time
Karlstad,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,59.38333511,13.51666641,W. Europe Standard Time
Kasaragod,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,12.5,74.98332977,India Standard Time
Kasauli,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,30.89972305,76.96722412,India Standard Time
Kathmandu,(GMT+05:45) Kathmandu,Nepal,27.70000076,85.31658936,Nepal Standard Time
Kaunas,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Lithuania,54.90000153,23.89999962,FLE Standard Time
Kawasaki,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,35.52416611,139.7141724,Tokyo Standard Time
Kazan,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,55.75,49.13333511,Russian Standard Time
Keel,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,53.97583389,-10.08388901,GMT Standard Time
"Kelowna, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,49.88360977,-119.4936142,Pacific Standard Time
Kemerovo,(GMT+07:00) Novosibirsk,Russia,55.37138748,86.05249786,Novosibirsk Standard Time
Kendari,"(GMT+08:00) Kuala Lumpur, Singapore",Indonesia,-3.968611002,122.5211105,Singapore Standard Time
Kerikeri,"(GMT+12:00) Auckland, Wellington",New Zealand,-35.22444534,173.9513855,New Zealand Standard Time
Khabarovsk,(GMT+11:00) Vladivostok,Russia,48.41666794,135.1166687,Vladivostok Standard Time
Kharkov,"(GMT+02:00) Athens, Beirut, Istanbul, Minsk",Ukraine,50,36.25,GTB Standard Time
Khartoum,(GMT+03:00) Nairobi,Sudan,15.58333302,32.53333282,E. Africa Standard Time
Kiel,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,54.33333206,10.11666679,W. Europe Standard Time
Kiev,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,50.43330383,30.51669312,FLE Standard Time
Kigali,"(GMT+02:00) Harare, Pretoria",Rwanda,-1.950000048,30.06666756,South Africa Standard Time
Killarney,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,52.06666565,-9.516666412,GMT Standard Time
Kimberley,"(GMT+02:00) Harare, Pretoria",South Africa,-28.74333382,24.76250076,South Africa Standard Time
Kingston,"(GMT-05:00) Bogota, Lima, Quito",Jamaica,17.96666718,-75.19999695,SA Pacific Standard Time
"Kingston, Norfolk Island",(GMT+11:30) Norfolk Island,Australia,-29.04999924,167.9333344,Norfolk Island Standard Time
"Kingston, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,44.23333359,-76.5,Eastern Standard Time
Kingstown,(GMT-04:00) La Paz,Saint Vincent and the Grenadines,13.19999981,-61.26666641,SA Western Standard Time
Kinshasa,(GMT+01:00) West Central Africa,"Congo, Democratic Republic of the",-4.316666603,15.30000019,W. Central Africa Standard Time
Kiruna,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,67.84999847,20.26666641,W. Europe Standard Time
"Kitchener, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,43.45000076,-80.5,Eastern Standard Time
Knysna,"(GMT+02:00) Harare, Pretoria",South Africa,-34.06472397,23.08194351,South Africa Standard Time
Kochi,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,10.01666641,76.21666718,India Standard Time
Kodaikanal,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,10.23555565,77.48750305,India Standard Time
Kolhapur,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,16.6977787,74.22638702,India Standard Time
Kolkata,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,22.53333282,88.36959839,India Standard Time
Kolobrzeg,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Poland,54.18166733,15.56972218,Central European Standard Time
Kolomna,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,55.08694458,38.77777863,Russian Standard Time
Kolonia,"(GMT+11:00) Solomon Is., New Caledonia","Micronesia, Federated States of",6.960833549,158.2088928,Central Pacific Standard Time
Konark,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,19.89999962,86.19999695,India Standard Time
Kone,"(GMT+11:00) Solomon Is., New Caledonia",New Caledonia,-21.06388855,164.8536072,Central Pacific Standard Time
Konin,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Poland,52.22305679,18.25111198,Central European Standard Time
Koror,"(GMT+09:00) Osaka, Sapporo, Tokyo",Palau,7.349999905,134.4833374,Tokyo Standard Time
Kos,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Greece,36.89749908,27.28611183,FLE Standard Time
"Kosciusko, MS",(GMT-06:00) Central Time (US & Canada),United States,33.04999924,-89.58333588,Central Standard Time
Kostroma,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,57.76666641,40.95000076,Russian Standard Time
Kota Kinabalu,"(GMT+08:00) Kuala Lumpur, Singapore",Malaysia,5.976388931,116.1158371,Singapore Standard Time
Kotka,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Finland,60.46666718,26.93333244,FLE Standard Time
Kovrov,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,56.36666489,41.33333206,Russian Standard Time
Kowloon,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,22.29999924,114.1833344,China Standard Time
Krakow,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Poland,50.05527878,19.92749977,Central European Standard Time
Krasnoyarsk,(GMT+08:00) Krasnoyarsk,Russia,56.00833511,92.76667023,Krasnoyarsk Standard Time
Kristiansand,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,58.15000153,8,W. Europe Standard Time
Kristianstad,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,56.03333282,14.16666698,W. Europe Standard Time
Kronstadt,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,59.98333359,29.78333282,Russian Standard Time
Kuala Lumpur,"(GMT+08:00) Kuala Lumpur, Singapore",Malaysia,3.166702271,101.7000122,Singapore Standard Time
Kuching,"(GMT+08:00) Kuala Lumpur, Singapore",Malaysia,1.530833364,110.3441696,Singapore Standard Time
Kulusuk,(GMT-03:00) Greenland,Greenland,65.5680542,-37.1875,Greenland Standard Time
Kumanovo,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Macedonia,42.1305542,21.7211113,Central European Standard Time
Kumbakonam,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,10.96666622,79.3833313,India Standard Time
Kungur,(GMT+06:00) Ekaterinburg,Russia,57.43333435,56.95000076,Ekaterinburg Standard Time
Kunming,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,25.06666756,102.6833344,China Standard Time
Kupang,"(GMT+08:00) Kuala Lumpur, Singapore",Indonesia,-10.16666698,123.5833359,Singapore Standard Time
Kurgan,(GMT+06:00) Ekaterinburg,Russia,55.45360947,65.34222412,Ekaterinburg Standard Time
Kursk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,51.73333359,36.16666412,Russian Standard Time
Kurunegala,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,7.483333111,80.3666687,India Standard Time
Kuwait,"(GMT+03:00) Kuwait, Riyadh",Kuwait,29.33333397,48,Arab Standard Time
Kyoto,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,35.01666641,135.75,Tokyo Standard Time
"La Jolla, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,32.84749985,-117.2747192,Pacific Standard Time
La Libertad,(GMT-06:00) Central America,El Salvador,13.5666666,-89.28333282,Central America Standard Time
La Paz,(GMT-04:00) La Paz,Bolivia,-16.04999924,-68.01499939,SA Western Standard Time
La Paz,"(GMT-07:00) Chihuahua, La Paz, Mazatlan",Mexico,24.13861084,-110.3174973,Mexico Standard Time 2
La Rioja,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-29.41277695,-66.85472107,SA Eastern Standard Time
La Union,(GMT-06:00) Central America,El Salvador,13.33333302,-87.84999847,Central America Standard Time
Labuan,"(GMT+08:00) Kuala Lumpur, Singapore",Malaysia,5.291388988,115.2458344,Singapore Standard Time
Lagos,(GMT+01:00) West Central Africa,Nigeria,6.449999809,3.466666698,W. Central Africa Standard Time
Lahore,(GMT+05:00) Pakistan,Pakistan,31.54500008,74.34055328,Pakistan Standard Time
"Lansing, MI",(GMT-05:00) Eastern Time (US & Canada),United States,42.73361206,-84.54666901,Eastern Standard Time
Lanzhou,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,36.06666565,103.75,China Standard Time
Las Varas,"(GMT-07:00) Chihuahua, La Paz, Mazatlan",Mexico,21.17861176,-105.1355591,Mexico Standard Time 2
"Las Vegas, NV",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,36.23305511,-115.246666,Pacific Standard Time
Latakia,(GMT+02:00) Syria,Syria,35.52138901,35.79249954,Syria Standard Time
Launceston,(GMT+10:00) Hobart,Australia,-41.45000076,147.1333313,Tasmania Standard Time
Le Havre,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,49.5,0.13333334,Romance Standard Time
Leeds,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,53.81666565,-1.5,GMT Standard Time
Leicester,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,52.63333511,-1.133333325,GMT Standard Time
Leipzig,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,51.34999847,12.39999962,W. Europe Standard Time
Leixlip,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,53.36694336,-6.488888741,GMT Standard Time
Leon,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,42.59999847,-5.566666603,Romance Standard Time
Leon,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,21.12361145,-101.6805573,Mexico Standard Time
"Lexington, KY",(GMT-05:00) Eastern Time (US & Canada),United States,38.0316658,-84.4952774,Eastern Standard Time
Libreville,(GMT+01:00) West Central Africa,Gabon,0.5,9.416666985,W. Central Africa Standard Time
Lille,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,50.63333511,3.066666603,Romance Standard Time
Lilongwe,"(GMT+02:00) Harare, Pretoria",Malawi,-13.98333359,33.76666641,South Africa Standard Time
Lima,"(GMT-05:00) Bogota, Lima, Quito",Peru,-12.05000019,-77.05000305,SA Pacific Standard Time
Limassol,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Cyprus,35,33,FLE Standard Time
Limerick,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,52.66666794,-8.633333206,GMT Standard Time
Limoux,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.05444336,2.221388817,Romance Standard Time
"Lincoln, NE",(GMT-06:00) Central Time (US & Canada),United States,40.81361008,-96.70249939,Central Standard Time
Linkoping,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,58.41583252,15.62555599,W. Europe Standard Time
Lipetsk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,52.61666489,39.56666565,Russian Standard Time
Lisbon,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,38.71666718,-9.133333206,GMT Standard Time
Lismore,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-28.8125,153.2786102,AUS Eastern Standard Time
"Little Rock, AR",(GMT-06:00) Central Time (US & Canada),United States,34.72444534,-92.27889252,Central Standard Time
Liverpool,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,53.41666794,-2.966666698,GMT Standard Time
Ljubljana,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Slovenia,46.04999924,14.5144043,Central Europe Standard Time
Lome,(GMT) Greenwich Mean Time,Togo,6.166666508,1.350000024,Greenwich Standard Time
London,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,51.46666718,0.300000012,GMT Standard Time
"London, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,42.98249817,-81.25389099,Eastern Standard Time
"Long Beach, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,33.78972244,-118.151947,Pacific Standard Time
"Long Branch, NJ",(GMT-05:00) Eastern Time (US & Canada),United States,40.29583359,-73.99055481,Eastern Standard Time
Longyearbyen,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Svalbard,78.21666718,15.64999962,W. Europe Standard Time
"Los Angeles, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,34.05222321,-118.2433319,Pacific Standard Time
Los Mochis,"(GMT-07:00) Chihuahua, La Paz, Mazatlan",Mexico,25.79166603,-108.9872208,Mexico Standard Time 2
"Louisville, KY",(GMT-05:00) Eastern Time (US & Canada),United States,38.25,-85.76667023,Eastern Standard Time
Luancheng,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,37.88333511,114.6500015,China Standard Time
Luanda,(GMT+01:00) West Central Africa,Angola,-7.166666508,13.33333302,W. Central Africa Standard Time
Luchegorsk,(GMT+11:00) Vladivostok,Russia,46.43333435,134.3000031,Vladivostok Standard Time
Lucknow,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,26.85000038,80.91666412,India Standard Time
Lugano,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Switzerland,46.00333405,8.953332901,W. Europe Standard Time
Lugansk,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,48.55944443,39.29833221,FLE Standard Time
Lulea,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,65.58333588,22.21666718,W. Europe Standard Time
Lumbini,(GMT+05:45) Kathmandu,Nepal,27.48749924,83.26305389,Nepal Standard Time
Lund,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,55.70277786,13.19277763,W. Europe Standard Time
Lusaka,"(GMT+02:00) Harare, Pretoria",Zambia,-15.39999962,28.28333282,South Africa Standard Time
Luxembourg,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Luxembourg,49.61666489,6.150000095,Romance Standard Time
Luxor,(GMT+02:00) Cairo,Egypt,25.7005558,32.63916779,Egypt Standard Time
Lviv,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,49.83333206,24,FLE Standard Time
Lyon,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,45.75777817,4.832221985,Romance Standard Time
Macapa,"(GMT-03:00) Georgetown, South America Eastern Time",Brazil,0.034444444,-51.06666565,SA Eastern Standard Time
Macau,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,22.20000076,113.5500031,China Standard Time
Mackay,(GMT+10:00) Brisbane,Australia,-21.14999962,149.1833344,E. Australia Standard Time
Madikeri,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,12.41666603,75.75,India Standard Time
"Madison, WI",(GMT-06:00) Central Time (US & Canada),United States,43.06305695,-89.40083313,Central Standard Time
Madrid,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,40.3999939,-3.683303833,Romance Standard Time
Madurai,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,9.916666985,78.1166687,India Standard Time
Magadan,(GMT+12:00) Magadan,Russia,59.56669617,150.7999878,Magadan Standard Time
Magdeburg,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,52.13333511,11.61666679,W. Europe Standard Time
"Magnolia, TX",(GMT-06:00) Central Time (US & Canada),United States,30.20916748,-95.75055695,Central Standard Time
Mahabalipuram,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,12.61666679,80.19166565,India Standard Time
Mainz,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,49.99499893,8.267499924,W. Europe Standard Time
Majuro,(GMT+12:00) Marshall Islands,Marshall Islands,7.116666794,171.0666656,Marshall Islands Standard Time
Makassar,"(GMT+08:00) Kuala Lumpur, Singapore",Indonesia,-5.151944637,119.4122238,Singapore Standard Time
Malabo,(GMT+01:00) West Central Africa,Equatorial Guinea,3.75,8.783333778,W. Central Africa Standard Time
Malaga,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,36.71666718,-4.416666508,Romance Standard Time
Male,(GMT+05:00) Tashkent,Maldives,4.166666508,73.5,West Asia Standard Time
Malmo,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,55.60333252,13.00138855,W. Europe Standard Time
Mamoudzou,(GMT+03:00) Nairobi,Mayotte,-12.78333378,45.21666718,E. Africa Standard Time
Managua,(GMT-06:00) Central America,Nicaragua,12.10000038,-85.69999695,Central America Standard Time
Manama,"(GMT+03:00) Kuwait, Riyadh",Bahrain,26.20000076,50.59999847,Arab Standard Time
Manaus,(GMT-04:00) La Paz,Brazil,-3.116666555,-60.01666641,SA Western Standard Time
Manchester,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,53.48333359,-2.266666651,GMT Standard Time
Mandarmoni,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,21.65027809,87.65833282,India Standard Time
Mandurah,(GMT+08:00) Perth,Australia,-32.53333282,115.75,W. Australia Standard Time
Mangalia,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,43.81666565,28.58333397,FLE Standard Time
Mangalore,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,12.86666679,74.84999847,India Standard Time
Manila,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,14.58333302,121,Singapore Standard Time
Manisa,(GMT+02:00) Turkey,Turkey,38.6222229,27.42972183,Turkey Standard Time
Mannheim,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,49.48472214,8.476666451,W. Europe Standard Time
Manzanillo,(GMT-05:00) Cuba Standard Time,Cuba,20.35000038,-77.1166687,Cuba Standard Time
Manzanillo,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,19.05055618,-104.3172226,Mexico Standard Time
Maputo,"(GMT+02:00) Harare, Pretoria",Mozambique,-25.96666718,32.53333282,South Africa Standard Time
Maram Bazar,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,25.47555542,94.13694763,India Standard Time
Marawi,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,8.002778053,124.2919464,Singapore Standard Time
Marmaris,(GMT+02:00) Turkey,Turkey,36.85472107,28.27083397,Turkey Standard Time
Marseille,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.28333282,5.383333206,Romance Standard Time
Masafi,"(GMT+04:00) Abu Dhabi, Muscat",United Arab Emirates,25.30333328,56.16472244,Arabian Standard Time
Maseru,"(GMT+02:00) Harare, Pretoria",Lesotho,-29.29999924,27.48333359,South Africa Standard Time
Mata-Utu,(GMT+12:00) Marshall Islands,Wallis and Futuna,-13.30000019,-176.1666718,Marshall Islands Standard Time
Matale,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,7.466666698,80.6166687,India Standard Time
Matamoros,(GMT-06:00) Central Time (US & Canada),Mexico,25.86111069,-97.50222015,Central Standard Time
Mataram,"(GMT+08:00) Kuala Lumpur, Singapore",Indonesia,-8.581944466,116.1069412,Singapore Standard Time
Mazari Sharif,(GMT+04:30) Kabul,Afghanistan,36.70750046,67.10805511,Afghanistan Standard Time
Mazatlan,"(GMT-07:00) Chihuahua, La Paz, Mazatlan",Mexico,23.21666718,-106.4166641,Mexico Standard Time 2
Mbabane,"(GMT+02:00) Harare, Pretoria",Swaziland,-26.31666756,31.14999962,South Africa Standard Time
Mbour,(GMT) Greenwich Mean Time,Senegal,14.41666698,-16.96666718,Greenwich Standard Time
Mdina,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Malta,35.88583374,14.40166664,W. Europe Standard Time
Medan,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Indonesia,3.583333254,98.68333435,SE Asia Standard Time
Medina,"(GMT+03:00) Kuwait, Riyadh",Saudi Arabia,24.4608326,39.6202774,Arab Standard Time
Melaque,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,19.22527695,-104.7038879,Mexico Standard Time
Melbourne,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-37.81669617,144.9667053,AUS Eastern Standard Time
"Melbourne, FL",(GMT-05:00) Eastern Time (US & Canada),United States,28.08333397,-80.59999847,Eastern Standard Time
"Memphis, TN",(GMT-06:00) Central Time (US & Canada),United States,35.15000153,-90.05000305,Central Standard Time
Mendoza,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-32.88249969,-68.81639099,SA Eastern Standard Time
"Menlo Park, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.45388794,-122.1811142,Pacific Standard Time
Merida,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,20.97972298,-89.6158371,Mexico Standard Time
Mexicali,(GMT-08:00) Pacific Time (US & Canada); Tijuana,Mexico,32.65000153,-115.4666672,Pacific Standard Time
Mexico City,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,19.43305588,-99.13305664,Mexico Standard Time
"Miami, FL",(GMT-05:00) Eastern Time (US & Canada),United States,25.77416611,-80.1902771,Eastern Standard Time
Milan,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,45.46666718,9.183333397,W. Europe Standard Time
"Mill Valley, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.90611267,-122.5449982,Pacific Standard Time
"Milwaukee, WI",(GMT-06:00) Central Time (US & Canada),United States,43.03333282,-87.90000153,Central Standard Time
"Minneapolis, MN",(GMT-06:00) Central Time (US & Canada),United States,44.97750092,-93.26444244,Central Standard Time
Minsk,"(GMT+02:00) Athens, Beirut, Istanbul, Minsk",Belarus,53.89999008,27.56669044,GTB Standard Time
"Miramar, FL",(GMT-05:00) Eastern Time (US & Canada),United States,25.97861099,-80.33361053,Eastern Standard Time
"Mission, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,49.1333313,-122.3000031,Pacific Standard Time
"Mississauga, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,43.54861069,-79.62638855,Eastern Standard Time
Mo,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,66.33333588,14.1833334,W. Europe Standard Time
"Mobile, AL",(GMT-06:00) Central Time (US & Canada),United States,30.69444466,-88.04305267,Central Standard Time
Mogadishu,(GMT+03:00) Nairobi,Somalia,2.033333302,45.34999847,E. Africa Standard Time
"Molalla, OR",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,45.14749908,-122.5772247,Pacific Standard Time
Monaco,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Monaco,43.73249817,7.418889046,Romance Standard Time
"Moncton, NB",(GMT-04:00) Atlantic Time (Canada),Canada,46.09444427,-64.77527618,Atlantic Standard Time
Monrovia,(GMT) Greenwich Mean Time,Liberia,6.300000191,-10.78333378,Greenwich Standard Time
Monte Carlo,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Monaco,43.74055481,7.425555706,Romance Standard Time
"Monterey, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,36.60027695,-121.894722,Pacific Standard Time
Monterrey,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,25.66670227,-100.3167038,Mexico Standard Time
Montevideo,(GMT-03:00) Uruguay,Uruguay,-34.90000153,-56.15000153,Uruguay Standard Time
"Montgomery, AL",(GMT-06:00) Central Time (US & Canada),United States,32.37555695,-86.29972076,Central Standard Time
"Montgomery, TX",(GMT-06:00) Central Time (US & Canada),United States,30.3880558,-95.69611359,Central Standard Time
"Montpelier, VT",(GMT-05:00) Eastern Time (US & Canada),United States,44.26277924,-72.5716629,Eastern Standard Time
Montpellier,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.61666489,3.866666555,Romance Standard Time
Montpeyroux,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.69555664,3.505000114,Romance Standard Time
"Montreal, QC",(GMT-05:00) Eastern Time (US & Canada),Canada,45.54555511,-73.63916779,Eastern Standard Time
Moroni,(GMT+03:00) Nairobi,Comoros,-11.69999981,43.25,E. Africa Standard Time
Moscow,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,55.75219727,37.58333206,Russian Standard Time
